Source,Target,Type
0,276,Undireted
0,58,Undireted
0,132,Undireted
0,603,Undireted
0,398,Undireted
0,555,Undireted
1,265,Undireted
1,611,Undireted
2,265,Undireted
2,182,Undireted
2,345,Undireted
3,608,Undireted
3,377,Undireted
3,40,Undireted
3,352,Undireted
3,450,Undireted
3,484,Undireted
3,299,Undireted
3,65,Undireted
3,185,Undireted
3,228,Undireted
557,227,Undireted
557,182,Undireted
557,90,Undireted
557,151,Undireted
557,394,Undireted
4,265,Undireted
4,287,Undireted
4,254,Undireted
4,336,Undireted
5,503,Undireted
6,429,Undireted
6,163,Undireted
6,486,Undireted
6,478,Undireted
6,518,Undireted
7,293,Undireted
7,265,Undireted
7,305,Undireted
7,339,Undireted
7,35,Undireted
7,444,Undireted
7,583,Undireted
8,278,Undireted
8,434,Undireted
8,73,Undireted
8,98,Undireted
8,369,Undireted
9,317,Undireted
9,288,Undireted
9,206,Undireted
9,289,Undireted
9,249,Undireted
9,593,Undireted
9,434,Undireted
9,254,Undireted
9,550,Undireted
9,131,Undireted
9,446,Undireted
9,89,Undireted
9,90,Undireted
9,265,Undireted
9,15,Undireted
9,340,Undireted
9,248,Undireted
9,229,Undireted
9,56,Undireted
9,570,Undireted
9,189,Undireted
9,611,Undireted
9,107,Undireted
9,23,Undireted
9,465,Undireted
9,67,Undireted
9,351,Undireted
9,498,Undireted
10,393,Undireted
10,258,Undireted
11,212,Undireted
11,485,Undireted
11,264,Undireted
11,380,Undireted
11,174,Undireted
11,259,Undireted
12,548,Undireted
12,618,Undireted
12,310,Undireted
13,352,Undireted
14,264,Undireted
14,326,Undireted
15,265,Undireted
15,70,Undireted
15,340,Undireted
15,67,Undireted
15,454,Undireted
15,505,Undireted
15,43,Undireted
15,432,Undireted
15,56,Undireted
16,516,Undireted
16,119,Undireted
16,400,Undireted
16,545,Undireted
16,334,Undireted
16,237,Undireted
16,374,Undireted
16,117,Undireted
16,274,Undireted
16,613,Undireted
16,466,Undireted
16,75,Undireted
17,185,Undireted
17,608,Undireted
17,450,Undireted
17,299,Undireted
17,65,Undireted
18,265,Undireted
408,265,Undireted
408,418,Undireted
408,581,Undireted
408,143,Undireted
408,599,Undireted
20,324,Undireted
20,355,Undireted
20,481,Undireted
20,238,Undireted
20,242,Undireted
20,160,Undireted
21,516,Undireted
21,441,Undireted
21,329,Undireted
21,334,Undireted
22,270,Undireted
22,187,Undireted
22,104,Undireted
22,22,Undireted
22,420,Undireted
23,434,Undireted
23,58,Undireted
23,128,Undireted
23,257,Undireted
23,288,Undireted
23,277,Undireted
23,182,Undireted
23,340,Undireted
23,157,Undireted
23,227,Undireted
23,343,Undireted
23,54,Undireted
23,67,Undireted
24,547,Undireted
24,230,Undireted
24,502,Undireted
24,306,Undireted
24,501,Undireted
24,591,Undireted
25,363,Undireted
26,230,Undireted
27,424,Undireted
28,147,Undireted
28,230,Undireted
28,527,Undireted
29,49,Undireted
30,126,Undireted
31,285,Undireted
31,424,Undireted
31,543,Undireted
31,357,Undireted
31,507,Undireted
31,508,Undireted
31,491,Undireted
31,169,Undireted
31,595,Undireted
31,41,Undireted
31,63,Undireted
31,327,Undireted
31,266,Undireted
31,48,Undireted
31,179,Undireted
31,546,Undireted
31,518,Undireted
31,142,Undireted
31,449,Undireted
31,269,Undireted
31,524,Undireted
31,488,Undireted
31,515,Undireted
31,193,Undireted
31,315,Undireted
32,89,Undireted
32,265,Undireted
32,183,Undireted
32,611,Undireted
32,364,Undireted
32,581,Undireted
32,159,Undireted
32,300,Undireted
357,543,Undireted
357,504,Undireted
357,118,Undireted
357,430,Undireted
357,524,Undireted
357,508,Undireted
357,164,Undireted
357,165,Undireted
357,127,Undireted
357,395,Undireted
357,596,Undireted
357,79,Undireted
357,515,Undireted
357,48,Undireted
357,448,Undireted
357,179,Undireted
357,518,Undireted
357,335,Undireted
357,307,Undireted
357,491,Undireted
357,572,Undireted
357,313,Undireted
357,63,Undireted
357,45,Undireted
357,532,Undireted
526,552,Undireted
526,70,Undireted
526,517,Undireted
526,181,Undireted
526,558,Undireted
526,519,Undireted
526,352,Undireted
526,462,Undireted
526,224,Undireted
526,235,Undireted
526,536,Undireted
526,403,Undireted
526,363,Undireted
526,195,Undireted
526,388,Undireted
526,498,Undireted
526,87,Undireted
517,181,Undireted
517,403,Undireted
517,224,Undireted
517,235,Undireted
34,89,Undireted
34,419,Undireted
34,254,Undireted
34,265,Undireted
34,373,Undireted
34,208,Undireted
35,536,Undireted
35,383,Undireted
35,289,Undireted
35,389,Undireted
35,131,Undireted
35,597,Undireted
35,338,Undireted
35,87,Undireted
35,89,Undireted
35,90,Undireted
35,265,Undireted
35,601,Undireted
35,56,Undireted
35,58,Undireted
35,611,Undireted
35,439,Undireted
35,615,Undireted
35,195,Undireted
35,198,Undireted
35,618,Undireted
35,243,Undireted
36,490,Undireted
37,389,Undireted
38,518,Undireted
411,449,Undireted
40,344,Undireted
40,333,Undireted
40,352,Undireted
40,538,Undireted
40,484,Undireted
40,240,Undireted
41,434,Undireted
41,265,Undireted
41,594,Undireted
41,397,Undireted
41,62,Undireted
41,465,Undireted
41,193,Undireted
41,109,Undireted
41,611,Undireted
41,321,Undireted
41,121,Undireted
41,282,Undireted
42,467,Undireted
43,253,Undireted
43,102,Undireted
43,265,Undireted
43,360,Undireted
43,577,Undireted
43,39,Undireted
43,340,Undireted
43,229,Undireted
43,83,Undireted
43,505,Undireted
43,67,Undireted
44,265,Undireted
180,496,Undireted
180,331,Undireted
180,209,Undireted
180,520,Undireted
46,417,Undireted
46,550,Undireted
46,86,Undireted
46,317,Undireted
46,578,Undireted
46,110,Undireted
46,67,Undireted
47,475,Undireted
47,500,Undireted
47,508,Undireted
48,518,Undireted
48,524,Undireted
48,164,Undireted
49,293,Undireted
49,512,Undireted
49,71,Undireted
49,196,Undireted
49,188,Undireted
50,544,Undireted
50,70,Undireted
50,171,Undireted
50,483,Undireted
50,131,Undireted
50,289,Undireted
50,182,Undireted
50,340,Undireted
50,183,Undireted
50,562,Undireted
50,578,Undireted
50,389,Undireted
50,67,Undireted
50,330,Undireted
52,113,Undireted
52,494,Undireted
53,122,Undireted
54,265,Undireted
54,275,Undireted
54,89,Undireted
54,536,Undireted
55,210,Undireted
55,158,Undireted
55,154,Undireted
55,437,Undireted
55,252,Undireted
55,78,Undireted
55,452,Undireted
55,214,Undireted
56,68,Undireted
56,383,Undireted
56,116,Undireted
56,70,Undireted
56,597,Undireted
56,505,Undireted
56,389,Undireted
56,479,Undireted
56,359,Undireted
56,128,Undireted
56,439,Undireted
56,130,Undireted
56,131,Undireted
56,217,Undireted
56,338,Undireted
56,584,Undireted
56,87,Undireted
56,89,Undireted
56,90,Undireted
56,265,Undireted
56,601,Undireted
56,182,Undireted
56,340,Undireted
56,375,Undireted
56,603,Undireted
56,229,Undireted
56,198,Undireted
56,102,Undireted
56,345,Undireted
56,289,Undireted
56,611,Undireted
56,60,Undireted
56,235,Undireted
56,577,Undireted
56,350,Undireted
56,465,Undireted
56,238,Undireted
56,195,Undireted
56,616,Undireted
56,617,Undireted
56,244,Undireted
56,351,Undireted
56,67,Undireted
56,151,Undireted
