Id,Label
386,Josh Marks
473,Blue Ribbon Restaurants
1,Pat Neely
542,La Griglia
189,Jose Garces
454,Zac Kara
158,Big Fish Seafood Bistro
248,Tom Aikens
537,The Habit Burger Grill
293,Chef Sheldon Simeon
171,Ochikeron
485,Taco Bell Cyprus
258,Christophe Michalak
534,Peohe's
500,Destino Ibiza
194,KFC
34,Chef Shirley Chung
465,Doug Adams
562,משה שגב / Moshe Segev
511,Angel Leon Gonzalez
201,Ben Ebbrell - Sorted Chef
188,Dick's Drive In Restaurant
440,John Whaite
484,Andy Luotto
240,Antonino Cannavacciuolo
533,Charley's Crab
235,Anne-Sophie Pic
82,Hilah Cooking
212,Taco Bell Costa Rica
35,Chef Robert Irvine
19,Nutella Cafe Chicago
154,Grand Concourse
334,Domino's Pizza
148,Chef Lorena Garcia
599,James Martin
382,Domino's Pizza
230,Nando's
7,Roy Yamaguchi
576,Susan Feniger
164,McDonald's
594,Al Brown New Zealand Chef
396,Veggie Grill
284,Domino's Pizza
63,McDonald's
160,Franklin Becker
573,McDonald's
61,Éric Frechon
25,KFC
409,The Edgy Veg
329,Domino's Pizza
211,Zoёs Kitchen
434,Chef Mark Garcia
218,Dunkin' Donuts
480,McDonald's
309,Chef Claudia's Cocina
313,McDonald's
56,Alex Guarnaschelli
138,Hari Ghotra
591,Nando's
202,Vicky Ratnani
14,Boston Market
246,Bobby's Burger Palace
462,Chef Guy Martin
290,Pablo Massey
518,McDonald's
106,Burger King Thailand
477,Dunkin' Donuts
504,McDonald's Deutschland Karriere
335,McDonald's
355,Michael White
33,Lillie's Asian Cuisine
496,Aquarium Restaurant - Nashville
62,Manu Feildel
255,맥도날드 (McDonald's)
325,Camille Becerra
276,KFC
153,Whataburger
362,Jumia Food
10,Big Fernand
460,Karlos Arguiñano
282,Karen Martini
567,Ogro Jimmy
304,Chili's Tunisie
5,Magnum
339,Carrabba's Italian Grill
21,Domino's Pizza
320,Susur Lee
464,Cook with Chef Duminda
51,KFC
156,Roblé
149,KFC
155,Brooke Williamson
505,René Redzepi
209,Cadillac Bar Kemah
236,Fast Ed
324,Cesare Casella
527,Nando's
78,Gandy Dancer Saloon/Oyster Bar
226,Hardee's
433,Peter Kuruvita
170,Chef Francois Payard
468,PROPERCORN
472,Marc Veyrat
387,Chope
392,Simon Bryant
193,Massimo Mele
544,Chef Sam Talbot
9,José Andrés
308,Opry City Stage
370,Cucina by Wolfgang Puck
344,Iginio Massari
144,Domino's Pizza
588,Thomas Keller
463,Emma Frisch
521,Dunkin' Donuts
165,McDonald's
215,El Torito
601,Chef Marc Murphy
481,Dina Nikolaou
358,KFC
204,Acapulco
270,Delverde
11,Taco Bell Panamá
606,Pollo Campero El Salvador
42,KFC
366,Michael Lomonaco
150,Domino's Pizza Türkiye
322,The Tuscan Gun
379,Burger Lounge
608,Pasqualino Barbasso
579,McDonald's
424,McDonald's
429,Jumia Food
105,Dunkin' Donuts
242,Alfred Portale
416,Magnum
220,Jumia Food
